Source File,Source Column,Canonical Dataset,Canonical Column,Required,Transformation Rule,Used In,Notes
01- master_activity_steel_analysis.csv,Activity ID,activity_impact_df,Activity ID,Yes,Trim spaces,Activity impact / fragnet / claim duration,
01- master_activity_steel_analysis.csv,Available units supplied by client vs Actual units of activities,delay_event_register_df,Cause Description,Yes,Negative values imply shortage evidence,Delay event register,
02- employer_steel_supply.csv,Date of receiving units supplied by client,delay_event_register_df,Evidence Date,Yes,Parse to date,Steel event timing,
02- employer_steel_supply.csv,Available units at site received by client,delay_event_register_df,Recovery Date,Yes,Combine with shortage / usable logic,Steel recovery timing,
03- p6_activity_export.csv,Total Float,activity_impact_df,Total Float,Yes,Numeric,Criticality test,
03- p6_activity_export.csv,Critical,activity_impact_df,Critical,Yes,Normalize Y/N,Criticality test,
03- p6_activity_export.csv,Longest Path,activity_impact_df,Longest Path,Yes,Normalize Y/N,Criticality test,
04- relationship_file.csv,Predecessors,fragnet_logic_df,Predecessor Activity ID,Yes,Extract driving predecessor,Fragnet logic,
05- contract_library.csv,Clause / Topic,delay_event_register_df,Contract Support Topic,Yes,Topic match,Contractual assessment,
Letters workbook,Ref No,evidence_register_df,Linked Letter Ref,No,Preserve exact ref,Evidence register / notice chain,
01- master_activity_steel_analysis.csv,Delayed duration in days due to steel un avilability in site,activity_impact_df,Claimed Delay Duration (days),No,Numeric absolute value; negative recorded delays converted to positive days,Activity impact / claimed duration,Primary claimed-delay source where populated
01- master_activity_steel_analysis.csv,Delayed duration in days due to steel un avilability in site,claimed_delay_df,Claimed Delay Duration (days),No,Numeric absolute value; overrides inferred duration when populated,Claimed delay register / DOCX binding,Falls back to finish delta or fragnet duration only when blank
C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,Ref No,Delay Event Register,Notice Ref / Event ID,Yes,Parse submission/reply dates and delay beyond 10d where applicable; otherwise direct text mapping.,RFI claim 6 TIA registers and Director Pack evidence support,Added from RFI Delay.xlsx claim 6 workbook; Activity ID and Activity Name define the affected activity.
C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,Date (Submission | Reply | Delay beyond 10d),Delay Event Register,Evidence Date / Recovery Date / Working Delay Days,Yes,Parse submission/reply dates and delay beyond 10d where applicable; otherwise direct text mapping.,RFI claim 6 TIA registers and Director Pack evidence support,Added from RFI Delay.xlsx claim 6 workbook; Activity ID and Activity Name define the affected activity.
C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,Subject,Delay Event Register,Cause Description,No,Parse submission/reply dates and delay beyond 10d where applicable; otherwise direct text mapping.,RFI claim 6 TIA registers and Director Pack evidence support,Added from RFI Delay.xlsx claim 6 workbook; Activity ID and Activity Name define the affected activity.
C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,Activity ID,Activity Impact Register,Activity ID,Yes,Parse submission/reply dates and delay beyond 10d where applicable; otherwise direct text mapping.,RFI claim 6 TIA registers and Director Pack evidence support,Added from RFI Delay.xlsx claim 6 workbook; Activity ID and Activity Name define the affected activity.
C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,Activity Name,Activity Impact Register,Activity Name,Yes,Parse submission/reply dates and delay beyond 10d where applicable; otherwise direct text mapping.,RFI claim 6 TIA registers and Director Pack evidence support,Added from RFI Delay.xlsx claim 6 workbook; Activity ID and Activity Name define the affected activity.
C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,Start Dependency,Fragnet Logic Register,Logic Rationale,No,Parse submission/reply dates and delay beyond 10d where applicable; otherwise direct text mapping.,RFI claim 6 TIA registers and Director Pack evidence support,Added from RFI Delay.xlsx claim 6 workbook; Activity ID and Activity Name define the affected activity.
C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,Sequence Impact,Causation Matrix,Causal Path Proven,No,Parse submission/reply dates and delay beyond 10d where applicable; otherwise direct text mapping.,RFI claim 6 TIA registers and Director Pack evidence support,Added from RFI Delay.xlsx claim 6 workbook; Activity ID and Activity Name define the affected activity.
C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,Commercial Impact,Causation Matrix,Compensable Potential,No,Parse submission/reply dates and delay beyond 10d where applicable; otherwise direct text mapping.,RFI claim 6 TIA registers and Director Pack evidence support,Added from RFI Delay.xlsx claim 6 workbook; Activity ID and Activity Name define the affected activity.
C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,EOT Potential,Causation Matrix,Excusable Potential,No,Parse submission/reply dates and delay beyond 10d where applicable; otherwise direct text mapping.,RFI claim 6 TIA registers and Director Pack evidence support,Added from RFI Delay.xlsx claim 6 workbook; Activity ID and Activity Name define the affected activity.
C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,Claim Strength,Delay Event Register,Evidence Strength,No,Parse submission/reply dates and delay beyond 10d where applicable; otherwise direct text mapping.,RFI claim 6 TIA registers and Director Pack evidence support,Added from RFI Delay.xlsx claim 6 workbook; Activity ID and Activity Name define the affected activity.
C:\Users\pc\OneDrive\Desktop\01 Letters\labib tia folders\05-Delay Analysis (TIA)\claim 6\RFI Delay.xlsx,Required Actions,Evidence Register,Description / Required evidence,No,Parse submission/reply dates and delay beyond 10d where applicable; otherwise direct text mapping.,RFI claim 6 TIA registers and Director Pack evidence support,Added from RFI Delay.xlsx claim 6 workbook; Activity ID and Activity Name define the affected activity.
